Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Free Float,Price to Earning,Price to book value,Dividend yield,Debt to equity,High price,Low price,EASYVESTSCORE,Soundness Score,Holding Score,Strength Score,Quality Score,Growth Score,Short Term Growth Score,AVG GS,Sentiment Score,Growth Rate,Return over 3years,Return over 1year,Return over 6months,Return over 3months,Return over 1month,Volume,Avg Value,Entry,Target,Stop Loss,First Target,Second Target,Third Target,Stop Loss per cent,Target Per cent,RR,EPS  AVG,EPS,Return on capital employed,Return on assets,Return on equity,Price to Sales,Price to Free Cash Flow,EVEBITDA,Minimum Volume,AVG MC,Fourth Target,Fifth Target,volt,G Factor,Is company taking new Debt
LTIMindtree,540005,LTIM,Computers - Software - Large,4701.9,139608.43,51189.32,30.47,6.96,1.28,0.1,6442.65,4565,66.48,78.48,100,82.86,67.24,42.11,9.52,31.24,40,13.64,6.52,-5.38,-15.69,-11.2,-0.1,1002822,471.52,6007.61,7506.17,4723.54,7506.17,8762.61,10831.41,-0.46,59.64,-130.2,235.66,154.72,32.11,17.96,25.03,3.93,45.44,19.59,0.92,163023.3,14178.32,19594.03,1.03,3,1
SBI Life Insuran,540719,SBILIFE,Finance & Investments,1386.4,138858.26,61852.66,73.32,9.31,0.19,0,1571.55,1199.2,55.29,61.59,80,60,55.17,42.11,52.38,45.53,85,8.3,12.79,14.79,-2.62,-10.37,-3.49,2569141,356.19,1368.81,1841.82,1076.24,1841.82,2150.12,2657.76,28.82,32.85,1.14,25.38,18.91,14.88,0.53,13.56,1.05,5.25,64.55,0.58,138745.31,3479,4807.88,1.02,2,0
Bank of Baroda,532134,BANKBARODA,Banks - Public Sector,264.9,136963.33,43623.47,7.3,1.3,2.87,12.78,285.6,182.65,61.13,63.93,100,71.43,45,68.42,47.62,61.49,30,36.8,49.46,43.31,31.24,-2.56,-5.9,17822577,472.12,307.09,346.31,241.45,346.31,404.28,499.73,9.71,30.73,3.16,49.33,36.29,6.61,1.24,17.86,1.16,-15.56,14.39,1.08,121075.4,654.15,904.01,1.04,7,1
B P C L,500547,BPCL,Refineries,627.8,136087.82,51989.65,5.03,1.8,3.35,0.72,687.95,331.45,70.33,81.38,80,80,82.76,50,28.57,42.86,30,36.8,10.06,72.21,43.33,0.42,3.37,10012613,628.59,697.27,733.64,581.61,628.45,733.64,906.85,7.94,16.86,2.12,115.63,123.82,32.09,13.86,41.9,0.3,9.51,3.89,1.21,110569.22,1187.06,1640.49,1.08,7,1
Macrotech Devel.,543287,LODHA,Construction,1377.95,135610.08,26795.29,83.23,7.84,0.07,0.44,1399,536.4,67.24,69,100,82.86,48.28,60.53,71.43,64.16,90,34.4,63.87,146.48,49.87,17.76,11.25,14110208,1944.32,1253.3,1389.41,1119.75,962.86,1124.04,1389.41,23.06,0.83,0.04,26.19,15.58,11.11,3.79,10.81,13.15,58.85,49.95,7.26,96247.44,1818.74,2513.45,1.11,4,0
GAIL (India),532155,GAIL,Miscellaneous,204.3,134362.98,50111.76,13.57,1.74,2.69,0.28,213.7,103.2,59.3,61.56,80,77.14,44.83,52.63,52.38,52.55,40,36.8,24.07,93.93,50.17,10.79,-2.3,46413166,948.22,203.24,214.18,169.4,183.47,214.18,264.75,20.6,4.84,0.23,25.3,15.06,14.64,8.52,13.95,1.01,-135.74,9.09,1.89,104182.46,346.56,478.93,1.07,6,1
I O B,532388,IOB,Banks - Public Sector,68.9,130276.19,3674.86,49.06,5.16,0,11.15,83.8,23.61,51.4,54.71,100,65.71,30,60.53,71.43,64.16,85,33.82,60.55,175.05,73.99,6.99,1.17,32338380,222.81,66.19,58.2,63.83,40.33,47.08,58.2,7.95,-15.54,-1.95,1.97,1.4,5.74,0.85,10.51,5.42,-32.06,22.19,6.06,101515.34,76.18,105.28,1.18,5,1
Godrej Consumer,532424,GODREJCP,Personal Care - Indian,1270.35,129995.21,43884.6,67.84,10.31,1.18,0.26,1372.95,959.55,57.57,71.6,100,74.29,58.62,28.95,38.1,32,85,6.46,14.37,20.5,23.89,-0.24,4.17,1391482,176.77,1204.31,1484.2,946.9,1484.2,1732.63,2141.7,34.16,16.83,0.49,28.28,-5.48,19.33,10.67,14.52,9.22,72.12,41.3,0.4,119284.05,2803.48,3874.33,1.03,3,1
Eicher Motors,505200,EICHERMOT,Automobiles - Motorcycles / Mopeds,4733.45,129564.91,56158.72,32.38,7.18,0.78,0.02,4908,3159.2,76.61,79.66,80,77.14,81.03,71.05,80.95,74.35,55,34.93,21.09,27.38,21.64,22.62,2.96,1150116,544.4,4929.84,5595.59,3876.13,5595.59,6532.23,8074.45,22.12,18.21,0.82,154.94,146.13,31.13,18.91,24.22,7.84,65.11,22.19,0.97,110439.97,10569.45,14606.67,1.04,5,1
Adani Energy Sol,539254,ADANIENSOL,Power Generation And Supply,1122.8,125544.38,28917.15,110.39,9.91,0,2.93,1250,686,51.37,62.99,100,68.57,44.83,26.32,52.38,35,65,-6.26,-9.19,37.68,31.37,3.89,5.41,9322523,1046.73,991.01,1136.34,790.87,973.4,1136.34,1404.62,41.97,1.21,0.03,8.86,10.2,9.3,2.13,9.36,7.56,-842.14,25.37,3.62,107980.4,1838.65,2540.96,1.06,3,1
Britannia Inds.,500825,BRITANNIA,Food - Processing - MNC,5179.8,124760.16,57977.86,58.4,31.65,1.39,0.52,5386.25,4347.7,65.95,84.83,80,80,89.66,31.58,19.05,27.4,85,2.87,14.54,11.75,4.21,5.23,8.46,656017,339.8,4598.14,6544.79,3615.33,6544.79,7640.31,9444.14,43.27,26.35,0.61,123.23,88.84,48.92,23.19,57.15,7.44,79.28,37.38,0.59,117245.43,12362.38,17084.45,1.02,3,0
Union Bank (I),532477,UNIONBANK,Banks - Public Sector,160.15,122172.13,22272.89,8.85,1.39,1.87,14.76,163.2,68,65.54,66.5,100,80,45,73.68,61.9,69.76,50,36.8,67.06,121.51,47.2,8.98,3.86,79705002,1276.48,158.14,186.05,137.97,128.93,150.51,186.05,16.07,16.17,1.01,25.19,18.07,6.83,1.07,17.51,1.22,6.3,13.82,5.73,88244.42,243.54,336.56,1.1,8,1
Tech Mahindra,532755,TECHM,Computers - Software - Large,1228.45,120068.46,78514.98,50.92,4.5,2.6,0.1,1416.3,1060.1,48.1,63.62,30,82.86,65.52,21.05,23.81,21.97,60,-36.33,6.03,9.6,0.65,-3.46,-2.77,5011555,615.64,936.94,1236.64,875.27,1236.64,1443.64,1784.47,40.35,0.67,0.02,51.54,24.14,11.89,5.37,8.64,2.31,24.51,21.69,0.78,120959.76,2335.87,3228.11,1.02,3,0
Havells India,517354,HAVELLS,Electric Equipment,1907.3,119671.97,40462.96,94.17,16.05,0.47,0.04,1950.05,1232.85,71.36,81.37,80,85.71,79.31,52.63,85.71,63.66,85,16.07,22.82,43.2,45.32,20.99,14.62,2674282,510.07,1716.18,1913.23,1349.36,1913.23,2233.49,2760.8,41.35,0.31,0.01,29.68,20.28,24.02,10.77,18.06,6.44,135.56,55.91,1.26,99736.17,3613.89,4994.29,1.04,4,1
HDFC Life Insur.,540777,HDFCLIFE,Finance & Investments,549.85,118216,66643.5,75.1,8.06,0.36,0.06,710.6,538,50.6,53,80,37.14,51.72,44.74,57.14,48.87,80,10.93,-6.15,-5.56,-19.39,-7.17,-5.79,9865049,542.43,608.6,812.51,478.52,812.51,948.52,1172.46,14.91,47.77,3.2,9.44,7.32,6.61,0.57,11.38,1.16,15.25,120.34,0.81,134280.69,1534.74,2120.97,1.02,2,1
Cipla,500087,CIPLA,Pharmaceuticals - Indian - Bulk Drugs & Formln,1447.2,116989.79,66435,27.48,4.38,0.59,0.02,1519,954.55,65.81,70.77,40,94.29,68.97,57.89,61.9,59.23,55,36.8,15.21,50.01,20.03,-2.37,3.37,3289380,476.04,1480.19,1640.21,1163.82,1640.21,1914.76,2366.83,24.35,13.34,0.55,61.22,51.05,23.08,13.84,16.99,4.54,46.33,16.58,0.72,99857.21,3098.18,4281.59,1.04,4,0
Divi's Lab.,532488,DIVISLAB,Pharmaceuticals - Indian - Bulk Drugs,4307.2,114358.17,49557.53,71.47,8.43,0.7,0,4469.15,3295.3,65.61,70.16,80,88.57,55.17,55.26,85.71,65.41,85,8.23,0.68,22.18,13.57,22.76,7.62,978434,421.43,3513.2,4567.87,2762.29,4567.87,5332.48,6591.44,55.93,6.05,0.11,90.19,60.27,16.44,10.7,12.15,14.58,99.63,43.39,0.85,103073.07,8628.2,11923.92,1.02,4,0
Adani Total Gas,542066,ATGL,Miscellaneous,1039.3,114213.59,24691.95,171.11,31.93,0.02,0.43,1259.9,521.95,73.21,83.66,100,80,79.31,52.63,66.67,57.31,95,28.35,-10.31,49.68,48.16,-0.08,11.86,9674307,1005.45,1055.34,1236.54,922.3,856.92,1000.36,1236.54,12.69,18.98,1.5,4.06,6.07,21.21,10.91,20.47,25.52,-890.92,98.93,4.07,97983.93,1618.63,2236.9,1.1,4,1
IndusInd Bank,532187,INDUSINDBK,Banks - Private Sector,1461.85,113827.54,96874.89,12.72,2.08,1.13,7.06,1694.5,1262,75.06,80.5,78.57,74.29,85,65.79,76.19,69.26,30,29.17,13.11,13.31,0.05,-4.2,-3.55,3670970,536.64,1649.93,2166.83,1297.28,2166.83,2529.53,3126.74,12.69,48.23,3.8,153.3,114.99,8.42,1.95,16.39,2.49,-24.05,11.94,0.55,115066.98,4092.9,5656.27,1.02,5,1
NHPC Ltd,533098,NHPC,Power Generation And Supply,107.25,107754.33,26025.44,29.73,2.78,1.72,0.84,115.85,43.1,39.42,52.66,100,57.14,31.03,10.53,47.62,22.89,75,-5.89,60.89,146.84,90.16,18.57,11.49,612724318,6571.47,81.2,88.07,73.15,61.03,71.25,88.07,46.61,-17.88,-0.38,7.37,3.61,7.37,4.49,9.59,11.19,574.22,20.62,25.25,79832.64,115.29,159.33,1.12,0,1
JSW Energy,533148,JSWENERGY,Power Generation And Supply,613,107076.67,24137,62.16,4.84,0.33,1.52,651.55,249,62.41,65.55,100,82.86,41.38,52.63,71.43,58.9,90,30.27,69.45,141.86,44.37,21.4,-2.63,47928878,2938.04,536.51,593.37,479.77,411.21,480.04,593.37,27.77,-3.2,-0.12,12.59,10.47,8.76,3.23,8.73,9.32,-97.61,22.97,12.17,78699.06,776.73,1073.41,1.11,4,1
Canara Bank,532483,CANBK,Banks - Public Sector,118,107033.68,31081.35,7.01,1.37,2.73,15.85,126.58,58.29,67.29,69,100,80,50,73.68,76.19,74.52,35,36.8,54.8,90.69,43.8,0.55,-5.14,291020648,3434.04,126.23,128.8,106.83,110.33,128.8,159.2,10.46,9.15,0.87,21.78,16.84,7,1.12,19.57,0.97,-12.03,13.05,11.05,83845.02,208.4,288,1.08,8,1
Jindal Steel,532286,JINDALSTEL,Steel - Sponge Iron,1028.15,105012.74,31636.43,17.68,2.37,0.19,0.37,1085.95,512.25,60.9,64.14,80,80,48.28,52.63,52.38,52.55,60,36.8,37.38,101.66,48.53,22.62,10.6,3268474,336.05,983.42,1020,825.92,873.74,1020,1260.81,24.49,-0.79,-0.03,98.47,58.21,13.3,8.02,14.31,2.1,27.05,11.34,1.06,81516.19,1650.41,2280.81,1.08,4,1
Cholaman.Inv.&Fn,511243,CHOLAFIN,Finance & Investments,1241.1,104231.69,49007.68,30.48,5.32,0.16,6.86,1352.9,997.25,75.93,84.07,80,68.57,95,63.16,76.19,67.5,60,28.39,31.51,18.89,10.01,12.99,4.01,2759110,342.43,1322.96,1719.59,1040.19,1719.59,2007.43,2481.38,19.31,38.55,2,61.21,40.72,10.42,2.53,20.15,5.45,-4.49,16.68,0.7,98706.3,3248.12,4488.81,1.02,5,1
B H E L,500103,BHEL,Electric Equipment,298.9,104060.98,25937.7,368.72,4.26,0.13,0.36,322.5,82,43.78,51.77,100,71.43,20.69,23.68,28.57,25.31,75,-9.94,61.39,264.51,75.31,26.71,6.11,29783660,890.23,198.61,161.05,199.31,111.61,130.29,161.05,49.97,-46.12,-0.92,3.01,0.81,2.97,0.47,1.1,4.36,-71.6,87.3,3.43,70425.47,210.82,291.34,1.21,2,1
TVS Motor Co.,532343,TVSMOTOR,Automobiles - Motorcycles / Mopeds,2179.25,103575.63,42474.94,61.42,15.26,0.37,1.97,2313.9,1281.6,66.43,71.9,80,77.14,65.52,55.26,61.9,57.48,65,31.5,52.65,71.31,14.11,-3.28,5.79,2827600,616.2,2315.44,2670.76,1841.78,2287.81,2670.76,3301.31,18.32,22.55,1.23,58.44,35.5,18.83,4.6,27.45,2.65,-29.25,20.43,1.45,85411.1,4321.42,5972.07,1.06,4,1
Samvardh. Mothe.,517334,MOTHERSON,Auto Ancillaries,151.25,102527.16,31696.75,35.76,3.92,0.43,0.76,156.95,79.05,62.3,58.98,80,74.29,41.38,65.79,95.24,75.61,65,36.8,5.28,91.7,62.46,25.99,15.28,76803520,1161.65,159.01,172.36,130.71,147.64,172.36,213.05,15.72,13.96,0.89,3.45,4.01,13.68,4.36,11.8,1.04,62.16,11.89,3.66,79961.52,278.88,385.41,1.07,5,1
Hero Motocorp,500182,HEROMOTOCO,Automobiles - Motorcycles / Mopeds,5119.6,102228.35,51970.61,26.49,5.78,1.95,0.03,5225,2745.05,68.57,79.12,30,88.57,93.1,52.63,61.9,55.72,70,24.05,19.81,82.82,36.16,11.75,12.69,1931121,988.66,4646.99,5179.28,3765.44,4436.64,5179.28,6402.08,35.96,1.17,0.03,252.43,187.31,29.77,15.42,22.47,2.71,39.65,16.79,1.9,79660.65,8380.32,11581.36,1.06,6,1
Vodafone Idea,532822,IDEA,Telecommunications - Service Provider,15.25,101456.77,52246.68,,,0,,18.42,7,22.31,27.53,30,14.29,34.48,13.16,33.33,19.88,75,,21.51,113.29,15.09,4.81,15.53,2184903437,3331.98,11.39,12.55,11.38,8.7,10.15,12.55,33.97,-17.71,-0.52,0.24,-6.23,-3.56,-16.3,,2.38,6.91,20,6.38,84500.53,16.43,22.7,1.11,2,1
Polycab India,542652,POLYCAB,Cables - Power,6741.65,101329.6,26837.65,56.8,12.37,0.3,0.02,6901,3379.75,84.31,87.95,100,91.43,81.03,76.32,85.71,79.45,75,34.86,58.97,93.59,28.79,40.62,18.97,1129708,761.61,6521.72,6937.94,5410.88,5943.13,6937.94,8575.95,24.59,2.91,0.12,163.88,118.75,32.33,16.77,24.08,5.62,217.14,37.27,2.84,77208.43,11225.91,15513.89,1.07,6,0
Tata Consumer,500800,TATACONSUM,Tea,1060.25,101000.65,64999.28,75.06,6.29,0.73,0.22,1269.6,783.65,50.66,49.84,30,71.43,44.83,52.63,61.9,55.72,80,21.32,16.78,33.59,12.45,-12.18,-4.34,4905367,520.09,1116.41,1215.13,877.79,1215.13,1418.52,1753.43,20.79,14.61,0.7,18.16,12.07,10.65,5.61,8.32,6.64,71.86,41.01,0.8,97816.83,2295.24,3171.95,1.04,4,1
Zydus Lifesci.,532321,ZYDUSLIFE,Pharmaceuticals - Indian - Bulk Drugs & Formln,1000.15,100672.9,21103.05,26.11,5.08,0.6,0.04,1172.5,504,83.27,86.22,100,91.43,77.59,76.32,85.71,79.45,55,36.8,17.31,94.81,56.35,8.51,4.89,2453655,245.4,1076.12,896.77,930.23,896.77,1046.88,1294.04,7.52,-10.34,-1.38,47.71,38.36,22.4,14.47,20.65,5.15,59.29,17.71,1.16,84344.72,1693.9,2340.93,1.09,4,0
Cummins India,500480,CUMMINSIND,Engines,3551.3,98476.26,37286.82,59.25,15.97,0.7,0.02,3900,1590.3,78.6,83.94,80,94.29,79.31,68.42,95.24,77.36,85,36.8,65.75,102.85,84.94,29.77,8.42,2797791,993.58,3525.01,4084.17,3094.91,2830.33,3304.09,4084.17,14.75,15,1.02,89.8,59.91,36.12,20.76,28.83,10.99,141.18,41.69,2.66,76095.56,5346.18,7388.26,1.1,5,1
CG Power & Ind,500093,CGPOWER,Electric Equipment,643.45,98306.62,33001.76,115.03,32.57,0.23,0.01,672.45,359.2,64.93,69.31,80,80,58.62,55.26,47.62,52.72,70,36.8,97.17,65.6,41.12,36.08,16.16,5592082,359.82,705.65,795.06,568.51,681.06,795.06,982.77,13.18,23.56,1.79,11.71,9.34,47.04,16.68,35.55,12.22,202.96,78.97,1.09,78781.95,1286.45,1777.83,1.06,3,1
Dabur India,500096,DABUR,Personal Care - Indian,545.1,96646.46,32477.11,53.36,9.79,0.95,0.14,597.1,489,65.56,80.21,100,77.14,74.14,36.84,47.62,40.43,85,7.72,0.5,-2.12,0.73,1.21,7.36,11259278,613.74,504.32,728.3,396.53,728.3,850.2,1050.93,37.47,33.61,0.9,13.74,10.4,22.28,12.59,19.23,7.79,74.52,33.78,1.89,96228.46,1375.67,1901.14,1.02,3,1
Dr Reddy's Labs,500124,DRREDDY,Pharmaceuticals - Indian - Bulk Drugs & Formln,5791.85,96570.14,67520.08,17.31,3.42,0.69,0.07,6505.9,4531.5,77.04,80,81.77,85.71,75.86,71.05,61.9,68,45,32.79,2.9,27.24,0.74,-7.17,-6.65,1040425,602.6,6380.22,7836.29,5016.51,7836.29,9148,11307.78,15.46,35.3,2.28,360.72,334.37,26.86,15.7,21.64,3.45,40.51,10.95,0.89,92051.92,14801.89,20455.78,1.03,6,1
Indus Towers,534816,INDUSTOWER,Transmisson Line Towers / Equipment,348.15,93837.88,21771.02,15.55,3.47,0,0.76,366.55,154.65,71.83,77.94,80,74.29,79.31,60.53,71.43,64.16,45,36.8,12.94,119.58,85.53,31.03,-1.87,111337717,3876.22,356.5,423.12,309.89,293.22,342.31,423.12,12.35,21.53,1.74,26.81,22.4,20.16,11.78,25.07,3.28,19.93,7.66,17.8,70229.09,553.87,765.43,1.1,5,1
IDBI Bank,500116,IDBI,Banks - Private Sector,85.6,92029.58,4316.35,15.9,1.99,1.17,5.79,98.7,53.07,60.08,65.64,100,77.14,45,60.53,90.48,70.51,30,36.8,31.38,54.79,36.96,-3.66,-5.26,8014571,68.6,100.74,97.65,80.98,97.65,113.99,140.9,5.71,14.07,2.46,6.33,5.38,6.55,1.75,12.5,3.48,521.1,16.06,1.59,81594.59,184.44,254.9,1.06,6,1
Torrent Pharma.,500420,TORNTPHARM,Pharmaceuticals - Indian - Formulations,2696.05,91208.17,22383.27,57.22,13.31,0.82,0.59,2839.9,1761.45,81.37,93.99,100,85.71,96.55,57.89,90.48,68.76,70,29,24.63,51.91,25.32,0.17,2.02,1006923,271.47,2526.6,2763.41,1986.57,2763.41,3225.97,3987.6,35.71,2.5,0.07,69.31,48.93,23.33,10.74,24.42,8.5,41.93,27.55,1.21,77854.84,5219.77,7213.57,1.04,3,0
Bosch,500530,BOSCHLTD,Auto Ancillaries,30393.75,89656.29,21794.06,49,7.43,1.58,0,32229.5,17925.4,74.24,81.91,100,91.43,68.97,57.89,76.19,63.99,75,29.74,26.24,63.39,37.63,4.67,3.53,881272,2678.52,29140.08,33701.93,23144.58,28869.51,33701.93,41658.75,31.32,10.88,0.35,850.45,844.42,20.61,10.89,15.86,5.36,197.12,30.91,12.29,73978.48,54531.3,75360.67,1.06,5,0
Shree Cement,500387,SHREECEM,Cement - North India,24680.6,89099.93,36055.73,37.19,4.3,0.41,0.08,30737.75,22601.3,68.15,73.29,100,91.43,51.72,55.26,66.67,59.06,60,36.8,-3.68,-1.93,-8.68,-3.73,0.96,76219,188.11,30736.56,39852.66,24166.91,39852.66,46523.52,57507.44,2.13,61.47,28.92,966.35,663.98,14.69,8.83,12.18,4.34,-3620.85,17.66,0.52,96276.99,75277.24,104030.96,1.03,2,0
Shriram Finance,511218,SHRIRAMFIN,Finance & Investments,2354.05,88442.38,56667.42,12.01,1.81,1.49,3.99,2658,1385.75,81.39,85.1,80.86,71.43,95,76.32,90.48,81.04,30,36.8,18.59,66.92,17.51,-4.2,-7.75,2621259,617.06,2498.41,2770.6,2029.8,2373.33,2770.6,3424.72,15.97,17.69,1.11,236.16,196.02,11.23,3.23,15.93,2.43,-4.57,10.46,1.09,75982.06,4482.96,6195.31,1.06,6,1
Bajaj Holdings,500490,BAJAJHLDNG,Finance & Investments,7953.4,88435.88,43173.82,12.17,1.63,1.65,0,9355,6627.9,68.14,64.98,80,94.29,41.38,71.05,90.48,77.53,30,36.8,31.4,13.73,8.46,-12.09,-2.01,116656,92.78,9146.64,11427.05,7191.63,11427.05,13339.81,16489.26,10.59,43.68,4.12,828.19,652.98,13.07,12.45,14.77,53.64,50.34,11.75,0.21,88944.84,21584.44,29829.06,1.03,6,0
Mankind Pharma,543904,MANKIND,Pharmaceuticals - Indian - Bulk Drugs & Formln,2139.75,85740.23,19551.54,47.02,8.91,0,0,2490,1395.8,83.44,89.67,100,88.57,86.21,71.05,71.43,71.18,65,36.8,,53.34,11.79,0.01,-9.5,13712309,2934.09,2469.86,2870.94,1956.19,2459.28,2870.94,3548.75,9.38,34.17,3.64,51.75,45.52,26.11,17.54,20.95,9.25,161.53,32.79,15.01,77832.57,4645.32,6419.69,1.05,5,1
Solar Industries,532725,SOLARINDS,Chemicals,9370.5,84637.78,16898.34,101.25,25.65,0.09,0.34,10450,3453.35,80.57,89.68,100,82.86,89.66,63.16,42.86,56.39,100,24.29,84.39,148.82,51.41,36.85,4.49,3533376,3310.95,8850.29,8793.03,8221.91,6093.57,7113.56,8793.03,13.97,-6.16,-0.44,136.93,92.38,29.86,16.44,28.26,13.94,240.47,60.46,19.59,62912.66,11510.08,15906.59,1.14,3,1
United Spirits,532432,MCDOWELL-N,Breweries & Distilleries,1159.4,84397.5,33204.47,59.4,11.84,0.35,0.04,1245.8,861.2,73.48,84.81,80,88.57,84.48,52.63,66.67,57.31,65,36.8,23.71,32.33,10.02,-0.65,-1.5,2189208,253.82,1317.54,1606.05,1035.92,1606.05,1874.88,2317.53,11.92,38.52,3.23,27.57,19.36,28.74,13.55,21.66,7.45,104.31,37.48,0.76,76631.59,3033.65,4192.41,1.03,4,1
Apollo Hospitals,508869,APOLLOHOSP,Healthcare,5839.2,84038.16,58935.55,93.65,12.11,0.26,0.77,6874.45,4726,61.44,59.6,65.93,80,44.83,63.16,80.95,69.09,70,36.8,21.7,21.29,4.44,-4.8,-1.81,1402147,818.74,7356.86,8918.44,5784.4,8918.44,10411.28,12869.33,0.95,52.73,55.67,106.73,62.5,15.55,5.99,13.67,4.41,162.64,35.16,1.39,83407.24,16845.95,23280.61,1.03,6,1
HDFC AMC,541729,HDFCAMC,Finance & Investments,3884.3,82930.22,30148.84,42.62,11.71,1.24,0,4066.5,1885.55,74.77,79.66,80,77.14,81.03,65.79,95.24,75.61,80,29.82,9.42,99.19,32.66,3.1,-0.27,643907,250.11,3485.39,3572.98,2943.23,3060.66,3572.98,4416.54,31.97,-8.01,-0.25,104.97,91.15,37.72,27.61,29.51,32.09,62.5,32.65,0.83,63538.13,5781.25,7989.53,1.08,5,0
I R C T C,542830,IRCTC,Travel Agencies,1020.35,81643.93,26510.26,70.73,25.27,0.54,0.02,1148.3,614.35,77.07,85.37,100,82.86,81.03,60.53,28.57,49.87,65,36.8,39.12,57.1,45.49,9.28,-1.77,4970959,507.21,1205.65,1164.84,970.8,1164.84,1359.82,1680.86,5.1,14.16,2.77,18.91,13.89,53.77,20.65,40.44,19.12,129.22,48.72,1.91,70506,2200.25,3040.68,1.06,4,0
Rail Vikas,542649,RVNL,Construction,381.7,79574.82,14601.68,54.39,10.12,0.56,0.77,399.9,115.8,93.55,100,100,100,100,81.58,76.19,79.78,90,18.09,135.3,222.25,131.33,52.1,33.28,34818393,1329.02,296.44,266.26,284.12,184.52,215.4,266.26,34.34,-30.24,-0.88,24.68,7.02,18.7,8.06,20.39,3.66,75.47,32.67,9.1,53761.73,348.53,481.66,1.17,6,1
Indian Hotels Co,500850,INDHOTEL,Hotels,557.4,79399.11,43773.55,63.87,8.39,0.31,0.29,622.5,371.45,63.28,61.01,30,91.43,55.17,68.42,71.43,69.42,65,36.8,61.7,40.86,30.72,-5.45,-3.36,9227053,514.32,616.32,648.49,484.58,648.49,757.04,935.78,15.03,16.34,1.09,11.54,8.85,15.11,9.3,14.26,11.73,82.65,34.82,1.17,70739.42,1224.93,1692.82,1.05,5,0
ICICI Pru Life,540133,ICICIPRULI,Finance & Investments,545.45,78590.18,21297.45,92.39,7.14,0.11,0.11,640.85,463.45,35.55,42.35,100,34.29,24.14,18.42,33.33,23.39,60,-6.26,-0.4,14.11,-2.39,1.38,-4.79,2445829,133.41,523.58,667.68,411.67,667.68,779.44,963.47,32.5,22.41,0.69,7.73,5.9,8.75,0.31,8.07,0.88,-39.85,76.78,0.63,79586.9,1261.18,1742.91,1.03,2,0
ICICI Lombard,540716,ICICIGI,Finance & Investments,1580.75,77899.65,35284.49,40.6,6.38,0.95,0,1747.4,1190.05,67.96,69.37,80,45.71,79.31,65.79,80.95,70.84,85,12.22,2.53,29.01,8.45,-4.34,-7.59,2560965,404.82,1531.2,1838.84,1203.92,1838.84,2146.64,2653.45,31.3,16.33,0.52,46.65,38.94,22.49,3.24,16.94,3.8,45.62,30.37,1.15,72408.14,3473.37,4800.1,1.03,5,0
Godrej Propert.,533150,GODREJPROP,Construction,2778.7,77253.71,24980.12,106.52,7.73,0,1.07,2926,1402.35,59.3,64.79,80,54.29,65,57.89,52.38,56.06,85,36.8,26.86,98.1,48.38,13.81,4.95,626537,174.1,2903.1,3043.72,2425.67,2607.29,3043.72,3762.32,14.55,9.54,0.66,34.56,26.08,6.28,2.54,7.53,25.45,-45.1,71.04,0.7,60164.07,4924.87,6806.03,1.08,2,1
Marico,531642,MARICO,Solvent Extraction,595.55,76999.32,28990.71,51.99,20.11,1.6,0.14,615.9,486.3,66.42,77.93,80,80,75.86,44.74,28.57,39.35,85,10.34,7.4,7.06,10.92,12.7,14.97,4331703,257.97,539.72,751.46,424.36,751.46,877.24,1084.36,40.34,26.18,0.65,14.75,11.44,43.41,21.12,38.82,7.98,67.57,35.32,0.89,71317.85,1419.42,1961.6,1.02,4,1
Indian Bank,532814,INDIANB,Banks - Public Sector,567.5,76546.01,15345.06,9.09,1.27,2.11,11.8,596.9,274.05,67.45,65.64,100,77.14,45,81.58,80.95,81.37,40,36.8,60.97,106.44,41.47,7.28,3.51,1927140,109.37,561.23,571.46,475.41,489.52,571.46,706.38,19.37,0.7,0.04,91.25,62.51,5.92,1.12,15.35,1.38,-25.49,16.98,0.71,58658.48,924.65,1277.83,1.08,8,1
H P C L,500104,HINDPETRO,Refineries,537.35,76282.79,26677.3,4.76,1.62,2.79,1.42,594.8,239.2,63.43,74.48,80,80,68.97,42.11,28.57,37.59,45,36.8,24.04,106.47,55.51,3.58,8.47,8216092,441.49,570.46,453.53,502.86,453.53,529.45,654.45,6.86,-15.6,-2.27,123.98,112.89,21.3,9.31,40.45,0.18,45.34,4.97,1.65,59151.45,856.68,1183.9,1.1,4,1
NMDC,526371,NMDC,Mining / Minerals / Metals,260.15,76209.16,22415.84,13.21,2.97,2.54,0.13,286.35,103.8,72.46,83.64,100,88.57,74.14,50,47.62,49.21,85,8.02,22.81,143.36,42.9,10.84,2.26,25282955,657.74,222.61,236.9,201.94,164.17,191.65,236.9,28.82,-8.94,-0.31,35.86,19.02,31.92,18.06,23.9,3.58,18.51,7.76,2.93,57168.68,310.11,428.56,1.12,4,1
Linde India,523457,LINDEINDIA,Chemicals,8709.55,74353.91,14779.56,174.4,21.63,0.05,0.01,9935.05,3926.2,66.09,73.31,100,80,58.62,50,19.05,39.68,100,10.04,76.99,118.05,46.39,57.62,5.5,166571,145.08,7786.52,8822.12,6898.1,6113.73,7137.1,8822.12,26.26,1.29,0.05,89.96,49.99,17.55,9.31,13.02,26.86,219.92,94.18,0.98,59118.23,11548.16,15959.22,1.11,3,1
